Clients  100
Depots  20
BoundaryPoints  0
R factor 2
Demand [1] 39
Demand [2] 26
Demand [3] 18
Demand [4] 23
Demand [5] 48
Demand [6] 10
Demand [7] 48
Demand [8] 47
Demand [9] 47
Demand [10] 47
Demand [11] 25
Demand [12] 23
Demand [13] 21
Demand [14] 30
Demand [15] 14
Demand [16] 40
Demand [17] 36
Demand [18] 16
Demand [19] 25
Demand [20] 15
Demand [21] 37
Demand [22] 42
Demand [23] 10
Demand [24] 30
Demand [25] 39
Demand [26] 15
Demand [27] 29
Demand [28] 31
Demand [29] 33
Demand [30] 18
Demand [31] 34
Demand [32] 17
Demand [33] 10
Demand [34] 16
Demand [35] 17
Demand [36] 31
Demand [37] 48
Demand [38] 19
Demand [39] 25
Demand [40] 18
Demand [41] 27
Demand [42] 19
Demand [43] 45
Demand [44] 11
Demand [45] 33
Demand [46] 36
Demand [47] 14
Demand [48] 36
Demand [49] 49
Demand [50] 18
Demand [51] 24
Demand [52] 28
Demand [53] 23
Demand [54] 27
Demand [55] 30
Demand [56] 49
Demand [57] 35
Demand [58] 46
Demand [59] 30
Demand [60] 29
Demand [61] 27
Demand [62] 22
Demand [63] 38
Demand [64] 48
Demand [65] 18
Demand [66] 16
Demand [67] 31
Demand [68] 32
Demand [69] 33
Demand [70] 41
Demand [71] 37
Demand [72] 18
Demand [73] 20
Demand [74] 41
Demand [75] 19
Demand [76] 49
Demand [77] 42
Demand [78] 43
Demand [79] 16
Demand [80] 35
Demand [81] 10
Demand [82] 35
Demand [83] 18
Demand [84] 45
Demand [85] 38
Demand [86] 38
Demand [87] 30
Demand [88] 49
Demand [89] 16
Demand [90] 38
Demand [91] 42
Demand [92] 14
Demand [93] 34
Demand [94] 29
Demand [95] 13
Demand [96] 34
Demand [97] 11
Demand [98] 33
Demand [99] 12
Demand [100] 12
Capacity [1] 72
Capacity [2] 171
Capacity [3] 437
Capacity [4] 394
Capacity [5] 276
Capacity [6] 440
Capacity [7] 91
Capacity [8] 284
Capacity [9] 518
Capacity [10] 166
Capacity [11] 271
Capacity [12] 284
Capacity [13] 83
Capacity [14] 104
Capacity [15] 483
Capacity [16] 469
Capacity [17] 437
Capacity [18] 220
Capacity [19] 115
Capacity [20] 483
FixedCost [1] 932
FixedCost [2] 1471
FixedCost [3] 2280
FixedCost [4] 2131
FixedCost [5] 1828
FixedCost [6] 2263
FixedCost [7] 1010
FixedCost [8] 1861
FixedCost [9] 2471
FixedCost [10] 1452
FixedCost [11] 1779
FixedCost [12] 1762
FixedCost [13] 1026
FixedCost [14] 1073
FixedCost [15] 2240
FixedCost [16] 2356
FixedCost [17] 2189
FixedCost [18] 1554
FixedCost [19] 1114
FixedCost [20] 2270
Distance [1,1] 28
Distance [1,2] 23
Distance [1,3] 64
Distance [1,4] 31
Distance [1,5] 57
Distance [1,6] 23
Distance [1,7] 38
Distance [1,8] 51
Distance [1,9] 30
Distance [1,10] 33
Distance [1,11] 6
Distance [1,12] 76
Distance [1,13] 45
Distance [1,14] 46
Distance [1,15] 42
Distance [1,16] 22
Distance [1,17] 27
Distance [1,18] 64
Distance [1,19] 70
Distance [1,20] 51
Distance [2,1] 73
Distance [2,2] 33
Distance [2,3] 8
Distance [2,4] 70
Distance [2,5] 59
Distance [2,6] 50
Distance [2,7] 22
Distance [2,8] 74
Distance [2,9] 83
Distance [2,10] 86
Distance [2,11] 55
