data/pFNC/pFNC
objectives  2
criteria  -1 1 
minvalues 30000000000    0.4            
maxvalues 40000000000    1              
Size      : 25
0 34722557514    0.574919       0              
1 34763176423    0.617391       0              
2 34819928355    0.632409       0              
3 34900211128    0.689058       0              
4 34970934068    0.735247       0              
5 35248975279    0.743541       0              
6 35255208234    0.750266       0              
7 35363678514    0.75771        0              
8 35484904548    0.76176        0              
9 35655166894    0.766004       0              
10 35663668384    0.772638       0              
11 35769178714    0.776779       0              
12 35877648994    0.784222       0              
13 35919430921    0.820479       0              
14 36197472132    0.828773       0              
15 36203705087    0.835498       0              
16 36312175367    0.842941       0              
17 36433401401    0.846992       0              
18 36603663747    0.851235       0              
19 36711442612    0.855285       0              
20 36717675567    0.86201        0              
21 36826145847    0.869454       0              
22 36995716778    0.870304       0              
23 37117634227    0.877748       0              
24 37443826694    0.879391       0              
