data/pFNC/pFNC
objectives  2
criteria  -1 1 
minvalues 30000000000    0.4            
maxvalues 40000000000    1              
Size      : 32
0 32925133507    0.457325       0.394548       
1 32964372956    0.522316       0.381721       
2 32988229305    0.531075       0.36555        
3 33011312528    0.592262       0.372523       
4 33070525698    0.60102        0.356351       
5 33079285746    0.621716       0.366616       
6 33121569303    0.649971       0.343141       
7 33181557480    0.658729       0.326969       
8 33188229709    0.687743       0.363892       
9 33224876873    0.696501       0.347721       
10 33256202927    0.717197       0.357985       
11 33298486484    0.745451       0.33451        
12 33335908655    0.75421        0.318339       
13 33366459702    0.774905       0.328603       
14 33381721975    0.787624       0.227739       
15 33461235961    0.796382       0.218579       
16 33480334591    0.826969       0.226416       
17 33538929724    0.835728       0.210244       
18 33584723958    0.85409        0.214634       
19 33603047581    0.884678       0.22247        
20 33662417721    0.893436       0.206299       
21 33794103719    0.898538       0.219755       
22 33848328167    0.908455       0.208717       
23 33947204861    0.912723       0.200783       
24 33980014165    0.913557       0.222173       
25 34073850802    0.917562       0.195871       
26 34133115307    0.927741       0.203201       
27 34358637942    0.936849       0.190355       
28 34455463177    0.939223       0.197841       
29 34665189918    0.945143       0.188923       
30 34680985812    0.94833        0.184995       
31 34987537788    0.956624       0.183562       
